MB_urchin,MB_echin,MB_Molls,SPC,RC_IND_2018,KW_Jap,RMI_bik_02_03,RMI_jp_10,RMI_09_10,RMI_ail,RMI_Ailk_06,LTO,RLS,RC_EST,RC_IND,RC_ATL,RC_HAW,RC_RED,RC_ARB,NOAA_PR_1999_2003,NOAA_PR_2004_2013,NOAA_PR_2013_2018,NOAA_MMT,NOAA_NA11,CCC_P,ECOT,NOAA_Fen_08,CCC_C,CCC_M
,,,Coralliophila neritoidea,,Planaxis sulcatus,,,,,,,,,,,,,,,,,,,,,,,
,,,Coralliophila sp.,,Pleuroploca trapezium,,,,,,,,,,,,,,,,,,,,,,,
,,,Cryptoplax sp.,,Pododesmus macrochisma,,,,,,,,,,,,,,,,,,,,,,,
,,,Culcita novaeguineae,,Pteraeolidia ianthina,,,,,,,,,,,,,,,,,,,,,,,
,,,Culcita sp.,,Pusia daedala,,,,,,,,,,,,,,,,,,,,,,,
,,,Cymatium lotorium,,Pyrene punctata,,,,,,,,,,,,,,,,,,,,,,,
,,,Cymatium muricinum,,Rhynchocinetes durbanensis,,,,,,,,,,,,,,,,,,,,,,,
,,,Cymatium rubeculum,,Risbercia tryoni,,,,,,,,,,,,,,,,,,,,,,,
,,,Cymatium sp.,,Stichopus naso,,,,,,,,,,,,,,,,,,,,,,,
,,,Cypraea annulus,,Stomopneustes variolaris,,,,,,,,,,,,,,,,,,,,,,,
,,,Cypraea arabica,,Streptopinna saccata,,,,,,,,,,,,,,,,,,,,,,,
,,,Cypraea caputserpensis,,Tectus niloticus,,,,,,,,,,,,,,,,,,,,,,,
,,,Cypraea carneola,,Tectus pyramis,,,,,,,,,,,,,,,,,,,,,,,
,,,Cypraea erosa,,Tectus triserialis,,,,,,,,,,,,,,,,,,,,,,,
,,,Cypraea isabella ,,Tenguella granulata,,,,,,,,,,,,,,,,,,,,,,,
,,,Cypraea mappa,,Terebellum terebellum,,,,,,,,,,,,,,,,,,,,,,,
,,,Cypraea mappa mappa,,Tetralia glaberrima,,,,,,,,,,,,,,,,,,,,,,,
,,,Cypraea moneta,,Thais echinata,,,,,,,,,,,,,,,,,,,,,,,
,,,Cypraea sp.,,Thor amboinensis,,,,,,,,,,,,,,,,,,,,,,,
,,,Cypraea talpa,,Tridacna crocea,,,,,,,,,,,,,,,,,,,,,,,
,,,Cypraea tigris,,Tridacna maxima,,,,,,,,,,,,,,,,,,,,,,,
